Name,Body,Year,Price,Transmission,Mileage,Volume,Car Drive,Steering wheel,Customs Clearance,Color
Audi Q5,кроссовер,2015,13500000,Автомат,89422 км,2 л,полный,Левый,Да,Серебристый
Audi e-tron,Null,2020,46000000,Автомат,19900 км,Null,полный,Левый,Да,Синий
Audi Q3,кроссовер,2012,10000000,Робот,44000 км,2 л,полный,Левый,Да,Черный
Audi A8,седан,2018,41500000,Автомат,142000 км,3 л,полный,Левый,Да,Черный
Audi A5,лифтбек,2011,8399000,Робот,193250 км,2 л,полный,Левый,Да,Серый
Audi A3,хетчбэк,2012,3800000,Робот,140000 км,1.2 л,передний,Левый,Нет,Синий
Audi A6,седан,2005,6500000,Автомат,Null,3.2 л,полный,Левый,Да,Серый
Audi A7,лифтбек,2010,12000000,Робот,156000 км,3 л,полный,Левый,Да,Серый
Toyota Camry,седан,2006,8000000,Автомат,Null,3 л,передний,Левый,Да,Черный
Toyota Camry,седан,2011,8000000,Автомат,200000 км,2 л,передний,Левый,Да,Серый
Toyota Camry,седан,2015,13700000,Автомат,159000 км,2 л,передний,Левый,Да,Белый
Toyota Camry,седан,2008,6300000,Автомат,Null,2 л,передний,Левый,Да,Синий
Toyota Camry,седан,2012,10000000,Автомат,150000 км,2 л,передний,Левый,Да,Серебристый
Toyota Camry,седан,2012,10500000,Автомат,140000 км,2 л,передний,Левый,Да,Серебристый
Toyota Camry,седан,2020,16000000,Автомат,30000 км,2 л,передний,Левый,Да,Белый
Toyota Camry,седан,2016,12500000,Автомат,171000 км,2 л,передний,Левый,Да,Черный
Toyota Camry,седан,2007,7200000,Автомат,275000 км,3 л,передний,Левый,Да,Белый
Toyota Camry,седан,2019,18390000,Автомат,46789 км,2 л,передний,Левый,Да,Null
Toyota Camry,седан,2004,5500000,Автомат,Null,2 л,передний,Левый,Да,Null
Toyota Avensis,седан,2006,5000000,Механика,Null,1 л,передний,Левый,Да,Серый
Toyota Avensis,седан,2005,4900000,Механика,Null,1 л,передний,Левый,Да,Серебристый
Toyota Avensis,седан,2009,7200000,Вариатор,Null,2 л,передний,Левый,Да,Null
Toyota Avensis,универсал,2005,5800000,Автомат,Null,2 л,передний,Левый,Да,Серебристый
Toyota Avensis,седан,2008,9500000,Механика,19000 км,1 л,передний,Левый,Да,Белый
Toyota Avensis,седан,2010,7600000,Вариатор,175000 км,1 л,передний,Левый,Да,Синий
Toyota Avensis,седан,2007,4900000,Автомат,9999 км,1 л,передний,Левый,Да,Черный
Toyota Avensis,седан,2006,5700000,Автомат,Null,2 л,передний,Левый,Да,Зеленый
Toyota Avensis,седан,2007,5200000,Механика,Null,1 л,передний,Левый,Да,Null
Toyota Avensis,универсал,2004,5600000,Автомат,173000 км,2 л,передний,Левый,Да,Серый
Toyota Avensis,универсал,2004,4600000,Механика,249000 км,2 л,передний,Левый,Да,Серый
Toyota 4Runner,внедорожник,2005,12500000,Автомат,Null,4 л,полный,Левый,Да,Серебристый
Toyota 4Runner,внедорожник,2020,28000000,Автомат,Null,4 л,полный,Левый,Да,Белый
Toyota 4Runner,внедорожник,2015,21000000,Автомат,60000 км,4 л,полный,Левый,Да,Серебристый
Toyota 4Runner,внедорожник,2004,9000000,Автомат,200000 км,4 л,полный,Левый,Нет,Синий
Toyota 4Runner,внедорожник,2007,13000000,Автомат,482700 км,4 л,полный,Левый,Да,Null
Toyota 4Runner,внедорожник,2008,13300000,Автомат,193000 км,4 л,полный,Левый,Да,Null
Toyota 4Runner,внедорожник,2005,9900000,Автомат,247000 км,4 л,полный,Левый,Нет,Null
Toyota 4Runner,внедорожник,2005,10400000,Автомат,180000 км,4 л,полный,Левый,Да,Серый
Toyota 4Runner,внедорожник,2004,13900000,Автомат,200000 км,4 л,полный,Левый,Да,Синий
Toyota 4Runner,внедорожник,2004,12000000,Автомат,274254 км,4 л,полный,Левый,Да,Null
Toyota 4Runner,внедорожник,2020,28000000,Автомат,29000 км,4 л,полный,Левый,Да,Черный
