Name,Body,Year,Price,Transmission,Mileage,Volume,Car Drive,Steering wheel,Customs Clearance,Color
Ford Mondeo,универсал,2004,1700000,Механика,Null,2 л,передний,Левый,Нет,Зеленый
Ford Mondeo,седан,2013,4500000,Автомат,269000 км,2.3 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2014,5800000,Автомат,180000 км,2.3 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2012,5700000,Автомат,198000 км,2.3 л,передний,Левый,Да,Белый
Ford Mondeo,седан,2004,2500000,Автомат,184500 км,2 л,передний,Левый,Нет,Серебристый
Ford Mondeo,седан,2006,2300000,Механика,260000 км,1.8 л,передний,Левый,Нет,Серебристый
Ford Mondeo,седан,2016,9500000,Автомат,198000 км,2.5 л,передний,Левый,Да,Null
Ford Mondeo,седан,2008,2000000,Автомат,279000 км,2.3 л,передний,Левый,Нет,Черный
Ford Mondeo,седан,2007,3900000,Механика,234000 км,2 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2010,5000000,Автомат,140000 км,2.3 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2012,6100000,Робот,122000 км,2 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2010,3500000,Механика,280000 км,2 л,передний,Левый,Нет,Null
Ford Mondeo,седан,2007,4700000,Механика,169000 км,2.5 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2012,5300000,Автомат,151800 км,2.3 л,передний,Левый,Да,Белый
Ford Mondeo,седан,2010,2550000,Механика,290000 км,1.6 л,передний,Левый,Нет,Белый
Ford Mondeo,седан,2009,3500000,Механика,222942 км,1.6 л,передний,Левый,Да,Синий
Ford Mondeo,седан,2006,2500000,Автомат,213300 км,2 л,передний,Левый,Да,Белый
Ford Mondeo,седан,2011,4700000,Робот,Null,2 л,передний,Левый,Да,Null
Ford Mondeo,седан,2006,3700000,Автомат,225 км,2.5 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2007,2200000,Автомат,360 км,2 л,передний,Левый,Да,Голубой
Ford Mondeo,седан,2013,5900000,Автомат,135000 км,2.3 л,передний,Левый,Да,Серый
Ford Mondeo,седан,2012,6200000,Робот,180000 км,2 л,передний,Левый,Да,Null
Ford Mondeo,седан,2016,11350000,Автомат,106500 км,2.5 л,передний,Левый,Да,Null
Ford Mondeo,седан,2005,2500000,Механика,369455 км,3 л,передний,Левый,Да,Серебристый
Ford Mondeo,седан,2011,7000000,Механика,77000 км,1.6 л,передний,Левый,Да,Синий
Ford Mondeo,седан,2011,7000000,Механика,76000 км,1.6 л,передний,Левый,Да,Синий
Ford Mondeo,седан,2004,1999999,Механика,1111 км,2 л,передний,Левый,Да,Серебристый
Ford Mondeo,седан,2013,6190000,Автомат,161332 км,2.3 л,передний,Левый,Да,Коричневый
Ford Mondeo,седан,2007,3500000,Автомат,250 км,2 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2013,6400000,Автомат,175000 км,2 л,передний,Левый,Да,Null
Ford Mondeo,универсал,2007,3500000,Механика,215000 км,2 л,передний,Левый,Да,Null
Ford Mondeo,седан,2004,3000000,Автомат,220000 км,2 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2008,3500000,Автомат,155000 км,2.3 л,передний,Левый,Нет,Серый
Ford Mondeo,седан,2004,2000000,Автомат,316000 км,2.5 л,передний,Левый,Да,Серебристый
Ford Mondeo,седан,2016,10600000,Автомат,93105 км,2.5 л,передний,Левый,Да,Белый
Ford Mondeo,лифтбек,2007,4250000,Механика,320000 км,2.5 л,передний,Левый,Да,Серый
Ford Mondeo,седан,2013,5400000,Автомат,202000 км,2.3 л,передний,Левый,Да,Серый
Ford Mondeo,седан,2005,1550000,Автомат,250000 км,2 л,передний,Левый,Нет,Null
Ford Mondeo,седан,2012,2850000,Робот,238675 км,2 л,передний,Левый,Нет,Серый
Ford Mondeo,седан,2012,6500000,Автомат,113380 км,2.3 л,передний,Левый,Да,Белый
Ford Mondeo,универсал,2007,4200000,Автомат,300000 км,2.3 л,передний,Левый,Да,Белый
Ford Mondeo,седан,2010,2700000,Механика,230000 км,1.6 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2016,9500000,Автомат,89000 км,2.5 л,передний,Левый,Да,Null
Ford Mondeo,седан,2012,5000000,Робот,180000 км,2 л,передний,Левый,Да,Черный
Ford Mondeo,седан,2016,9500000,Автомат,105000 км,2.5 л,передний,Левый,Да,Белый
Ford Mondeo,седан,2017,10700000,Автомат,55000 км,2.5 л,передний,Левый,Да,Серебристый
Ford Mustang,кабриолет,2013,12500000,Автомат,176880 км,3.7 л,задний,Левый,Да,Синий
Ford Mustang,купе,2008,8500000,Механика,Null,4 л,задний,Левый,Нет,Серый
Ford Mustang,купе,2012,12500000,Автомат,Null,3.7 л,задний,Левый,Да,Null
Ford Mustang,кабриолет,2015,16500000,Автомат,179000 км,2.3 л,задний,Левый,Да,Серый
Ford Mustang,купе,2017,22600000,Автомат,40000 км,2.3 л,задний,Левый,Да,Черный
Ford Mustang,кабриолет,2010,14450000,Механика,106128 км,5 л,задний,Левый,Да,Черный
Ford Mustang,купе,2012,20000000,Механика,23000 км,5 л,задний,Левый,Да,Красный
Ford Mustang,купе,2019,22000000,Автомат,10000 км,2.3 л,задний,Левый,Да,Черный
Ford Mustang,купе,2011,11500000,Автомат,Null,3.7 л,задний,Левый,Да,Белый
Ford Mustang,купе,2013,13000000,Автомат,126000 км,3.7 л,задний,Левый,Да,Синий
Ford Mustang,купе,2020,21000000,Автомат,70000 км,2.3 л,задний,Левый,Нет,Красный
Ford Mustang,купе,2007,8000000,Автомат,83616 км,4 л,задний,Левый,Да,Null
Ford Mustang,купе,2013,14000000,Автомат,140000 км,3.7 л,задний,Левый,Да,Null
Ford Mustang,купе,2016,12000000,Автомат,73164 км,2.3 л,задний,Левый,Нет,Null
Ford Mustang,купе,2014,11500000,Автомат,146419 км,3.7 л,задний,Левый,Нет,Серебристый
Ford Mustang,купе,2020,40000000,Автомат,13000 км,5 л,задний,Левый,Да,Белый
