Name,Body,Year,Price,Transmission,Mileage,Volume,Customs Clearance,Color,задний,передний,полный
5,2,2015,13500000,0,89422.0,2.0,1,7,0,0,1
4,2,2012,10000000,3,44000.0,2.0,1,11,0,0,1
1,5,2011,8399000,3,193250.0,2.0,1,8,0,0,1
0,12,2012,3800000,3,140000.0,1.2,0,9,0,1,0
2,5,2010,12000000,3,156000.0,3.0,1,8,0,0,1
257,9,2011,8000000,0,200000.0,2.0,1,8,0,1,0
257,9,2015,13700000,0,159000.0,2.0,1,1,0,1,0
257,9,2012,10000000,0,150000.0,2.0,1,7,0,1,0
257,9,2012,10500000,0,140000.0,2.0,1,7,0,1,0
257,9,2020,16000000,0,30000.0,2.0,1,1,0,1,0
257,9,2016,12500000,0,171000.0,2.0,1,11,0,1,0
257,9,2007,7200000,0,275000.0,3.0,1,1,0,1,0
256,9,2008,9500000,2,19000.0,1.0,1,1,0,1,0
256,9,2010,7600000,1,175000.0,1.0,1,9,0,1,0
256,9,2007,4900000,0,9999.0,1.0,1,11,0,1,0
256,10,2004,5600000,0,173000.0,2.0,1,8,0,1,0
256,10,2004,4600000,2,249000.0,2.0,1,8,0,1,0
255,0,2004,9000000,0,200000.0,4.0,0,9,0,0,1
255,0,2005,10400000,0,180000.0,4.0,1,8,0,0,1
255,0,2004,13900000,0,200000.0,4.0,1,9,0,0,1
255,0,2007,13800000,0,230000.0,4.0,1,8,0,0,1
258,9,2014,5000000,0,117000.0,1.6,1,1,0,1,0
258,9,2018,7490000,0,149816.0,1.6,1,8,0,1,0
258,5,2020,9680000,0,49530.0,1.6,1,4,0,1,0
258,9,2011,3500000,0,248000.0,1.6,0,11,0,1,0
258,9,2014,6200000,0,99000.0,1.6,1,1,0,1,0
260,12,2012,5400000,2,230000.0,1.6,1,1,0,1,0
258,9,2018,7270000,0,85415.0,1.6,1,8,0,1,0
258,9,2020,8770000,0,55958.0,1.6,1,8,0,1,0
258,9,2014,5500000,2,190000.0,1.6,1,1,0,1,0
258,9,2014,4350000,2,185000.0,1.6,1,1,0,1,0
258,5,2020,9300000,0,40000.0,1.6,1,1,0,1,0
6,9,2020,14500000,0,9600.0,2.0,1,11,0,1,0
6,9,2018,8300000,0,90000.0,1.5,1,8,0,1,0
6,9,2014,8500000,0,195000.0,2.4,1,11,0,1,0
6,9,2018,8500000,0,37000.0,2.0,1,11,0,1,0
6,9,2013,6900000,0,121000.0,2.5,1,8,0,1,0
6,9,2013,8000000,0,198000.0,2.4,1,1,0,1,0
6,9,2020,9600000,1,74772.0,1.5,1,8,0,1,0
6,9,2020,13100000,0,80000.0,2.0,1,1,0,1,0
6,9,2019,10000000,0,45000.0,1.5,1,1,0,1,0
6,9,2005,2100000,0,270000.0,2.2,1,1,0,1,0
6,9,2020,14000000,0,60000.0,2.0,1,11,0,1,0
6,9,2014,7490000,0,188734.0,2.4,1,8,0,1,0
6,9,2017,8600000,0,117100.0,1.5,1,1,0,1,0
258,9,2018,7400000,0,112000.0,1.6,1,0,0,1,0
258,9,2019,7350000,0,93003.0,1.6,1,1,0,1,0
258,9,2015,6900000,0,58000.0,1.6,1,1,0,1,0
258,9,2015,4700000,2,231000.0,1.6,1,1,0,1,0
258,9,2018,6950000,0,144350.0,1.6,1,8,0,1,0
258,9,2013,7200000,0,141000.0,1.6,1,7,0,1,0
258,9,2019,7700000,0,70000.0,1.6,1,1,0,1,0
258,9,2018,7200000,0,144000.0,1.6,1,7,0,1,0
258,9,2018,7270000,0,133077.0,1.6,1,11,0,1,0
258,5,2020,10270000,0,55350.0,1.6,1,8,0,1,0
7,9,2020,5800000,0,54000.0,1.5,1,8,0,1,0
7,9,2020,6100000,0,52500.0,1.5,1,1,0,1,0
7,9,2020,5000000,2,41716.0,1.5,1,1,0,1,0
7,9,2020,6000000,0,19900.0,1.5,1,7,0,1,0
7,9,2020,5700000,0,52000.0,1.5,1,1,0,1,0
7,9,2020,6090000,2,68563.0,1.5,1,1,0,1,0
7,9,2020,5770000,0,111223.0,1.5,1,1,0,1,0
7,9,2020,5890000,0,68220.0,1.5,1,1,0,1,0
7,9,2020,5800000,0,73000.0,1.5,1,7,0,1,0
7,9,2020,4700000,2,75000.0,1.5,1,1,0,1,0
7,9,2020,5600000,0,33000.0,1.5,1,9,0,1,0
7,9,2020,4500000,2,119000.0,1.5,1,7,0,1,0
7,9,2020,6390000,0,40044.0,1.5,1,11,0,1,0
7,9,2020,5500000,2,40000.0,1.5,1,8,0,1,0
7,9,2020,5800000,0,40000.0,1.5,1,1,0,1,0
7,9,2020,5000000,2,73025.0,1.5,1,1,0,1,0
7,9,2020,5490000,2,51403.0,1.5,1,8,0,1,0
7,9,2020,4750000,2,37000.0,1.5,1,1,0,1,0
7,9,2020,4900000,2,99000.0,1.5,1,1,0,1,0
7,9,2020,5800000,0,29000.0,1.5,1,1,0,1,0
7,9,2020,4650000,2,47000.0,1.5,1,1,0,1,0
7,9,2020,4999000,2,30000.0,1.5,1,1,0,1,0
7,9,2020,6390000,0,47065.0,1.5,1,11,0,1,0
7,9,2020,5200000,0,70000.0,1.5,1,11,0,1,0
7,9,2020,5000000,2,62000.0,1.5,1,1,0,1,0
7,9,2020,5800000,0,45000.0,1.5,1,1,0,1,0
7,9,2020,5000000,2,58000.0,1.5,1,1,0,1,0
7,9,2020,6300000,0,33900.0,1.5,1,1,0,1,0
7,9,2020,5600000,0,45000.0,1.5,1,1,0,1,0
7,9,2020,4600000,2,777.0,1.5,1,1,0,1,0
7,9,2020,6000000,0,8000.0,1.5,1,7,0,1,0
7,9,2020,5590000,2,49549.0,1.5,1,1,0,1,0
7,9,2020,5650000,0,69000.0,1.5,1,1,0,1,0
7,9,2020,5590000,2,55419.0,1.5,1,1,0,1,0
7,9,2020,5000000,2,66000.0,1.5,1,1,0,1,0
7,9,2020,5595000,2,14544.0,1.5,1,1,0,1,0
7,9,2020,4800000,2,186592.0,1.5,1,1,0,1,0
7,9,2020,5700000,0,57000.0,1.5,1,9,0,1,0
